,GCA_918698235.1,GCA_014773485.1,GCA_024169515.1
Cluster_321,LBGCNHPF_01598,OEIEKCCN_02321,OCILAMFM_00216
Cluster_322,LBGCNHPF_01760,OEIEKCCN_02427,OCILAMFM_00323
Cluster_323,LBGCNHPF_00429,OEIEKCCN_01180,OCILAMFM_03595
Cluster_324,LBGCNHPF_03862,OEIEKCCN_02957,OCILAMFM_00741
Cluster_325,LBGCNHPF_03129,OEIEKCCN_03426,OCILAMFM_02600
Cluster_326,LBGCNHPF_00127,OEIEKCCN_04068;OEIEKCCN_03511,OCILAMFM_03899
Cluster_327,LBGCNHPF_01200,OEIEKCCN_00841,OCILAMFM_03249
Cluster_328,LBGCNHPF_03599,OEIEKCCN_04422,OCILAMFM_01277
Cluster_329,LBGCNHPF_04492,,
Cluster_330,LBGCNHPF_02992,OEIEKCCN_03290,OCILAMFM_02733
Cluster_331,,,OCILAMFM_01960
Cluster_332,LBGCNHPF_03960,OEIEKCCN_01503,OCILAMFM_02402
Cluster_333,,OEIEKCCN_02353,
Cluster_334,LBGCNHPF_03880,OEIEKCCN_02939,OCILAMFM_00759
Cluster_335,,OEIEKCCN_00570,
Cluster_336,LBGCNHPF_02659,OEIEKCCN_04330,OCILAMFM_01371
Cluster_337,LBGCNHPF_01897,OEIEKCCN_00370,OCILAMFM_00503
Cluster_338,LBGCNHPF_01997,OEIEKCCN_02570,OCILAMFM_01142
Cluster_339,LBGCNHPF_00250,OEIEKCCN_03927;OEIEKCCN_01363,OCILAMFM_03770
Cluster_340,LBGCNHPF_02008,OEIEKCCN_02581,OCILAMFM_01131
Cluster_341,LBGCNHPF_00665,OEIEKCCN_01956,OCILAMFM_01896
Cluster_342,LBGCNHPF_01620,OEIEKCCN_02343,OCILAMFM_00238
Cluster_343,LBGCNHPF_02925,OEIEKCCN_03224,OCILAMFM_02800
Cluster_344,,,OCILAMFM_00050
Cluster_345,LBGCNHPF_02368,OEIEKCCN_02061,OCILAMFM_04199
Cluster_346,LBGCNHPF_01525,OEIEKCCN_03144,OCILAMFM_02881
Cluster_347,LBGCNHPF_02071,OEIEKCCN_02644,OCILAMFM_01067
Cluster_348,LBGCNHPF_01690,OEIEKCCN_02357,OCILAMFM_00253
Cluster_349,LBGCNHPF_02615,OEIEKCCN_04382,OCILAMFM_01323
Cluster_350,LBGCNHPF_04305,,
Cluster_351,LBGCNHPF_00417,OEIEKCCN_01192,OCILAMFM_03597
Cluster_352,LBGCNHPF_01057,OEIEKCCN_01571,OCILAMFM_02330
Cluster_353,LBGCNHPF_03082,OEIEKCCN_03380,OCILAMFM_02644
Cluster_354,LBGCNHPF_01650,,
Cluster_355,,,OCILAMFM_00952
Cluster_356,LBGCNHPF_04341,OEIEKCCN_00502,OCILAMFM_01807
Cluster_357,LBGCNHPF_00542,OEIEKCCN_01088,OCILAMFM_03504
Cluster_358,LBGCNHPF_00521,OEIEKCCN_01109,OCILAMFM_03525
Cluster_359,LBGCNHPF_00803,OEIEKCCN_01819,OCILAMFM_02030
Cluster_360,LBGCNHPF_00923,OEIEKCCN_01699,OCILAMFM_02204
Cluster_361,LBGCNHPF_02159,OEIEKCCN_02732,OCILAMFM_00979
Cluster_362,LBGCNHPF_02771,OEIEKCCN_04510,OCILAMFM_01476
Cluster_363,,,OCILAMFM_04270
Cluster_364,LBGCNHPF_01694,OEIEKCCN_02361,OCILAMFM_00257
Cluster_365,LBGCNHPF_00073,OEIEKCCN_04121;OEIEKCCN_03564,OCILAMFM_03953
Cluster_366,LBGCNHPF_00509,OEIEKCCN_01121,OCILAMFM_03537
Cluster_367,LBGCNHPF_00966,OEIEKCCN_01662,OCILAMFM_02244
