gene,protein,reaction,model,BiGG_gene
G_9_B_8_2_2_comp1,P_9_B_8_2_2_comp1,R_9_B_8_2_2,TCDB,TCDB.9_B_8_2_2_comp1
G_2_A_102_4_10_comp1,P_2_A_102_4_10_comp1,R_2_A_102_4_10,TCDB,TCDB.2_A_102_4_10_comp1
G_9_B_102_4_1_comp1,P_9_B_102_4_1_comp1,R_9_B_102_4_1,TCDB,TCDB.9_B_102_4_1_comp1
G_1_B_73_1_3_comp1,P_1_B_73_1_3_comp1,R_1_B_73_1_3,TCDB,TCDB.1_B_73_1_3_comp1
G_9_B_142_4_8_comp1,P_9_B_142_4_8_comp1,R_9_B_142_4_8,TCDB,TCDB.9_B_142_4_8_comp1
G_1_B_17_4_1_comp1,P_1_B_17_4_1_comp1,R_1_B_17_4_1,TCDB,TCDB.1_B_17_4_1_comp1
G_3_A_3_25_4_comp1,P_3_A_3_25_4_comp1,R_3_A_3_25_4,TCDB,TCDB.3_A_3_25_4_comp1
G_9_B_148_1_10_comp1,P_9_B_148_1_10_comp1,R_9_B_148_1_10,TCDB,TCDB.9_B_148_1_10_comp1
G_2_A_7_36_2_comp1,P_2_A_7_36_2_comp1,R_2_A_7_36_2,TCDB,TCDB.2_A_7_36_2_comp1
G_1_A_62_2_1_comp1,P_1_A_62_2_1_comp1,R_1_A_62_2_1,TCDB,TCDB.1_A_62_2_1_comp1
G_2_A_123_4_1_comp1,P_2_A_123_4_1_comp1,R_2_A_123_4_1,TCDB,TCDB.2_A_123_4_1_comp1
G_1_A_17_1_11_comp1,P_1_A_17_1_11_comp1,R_1_A_17_1_11,TCDB,TCDB.1_A_17_1_11_comp1
G_1_A_1_24_5_comp1,P_1_A_1_24_5_comp1,R_1_A_1_24_5,TCDB,TCDB.1_A_1_24_5_comp1
G_2_A_21_3_15_comp1,P_2_A_21_3_15_comp1,R_2_A_21_3_15,TCDB,TCDB.2_A_21_3_15_comp1
G_8_A_115_1_1_comp1,P_8_A_115_1_1_comp1,R_8_A_115_1_1,TCDB,TCDB.8_A_115_1_1_comp1
G_8_A_230_1_1_comp1,P_8_A_230_1_1_comp1,R_8_A_230_1_1,TCDB,TCDB.8_A_230_1_1_comp1
G_9_A_46_1_2_comp1,P_9_A_46_1_2_comp1,R_9_A_46_1_2,TCDB,TCDB.9_A_46_1_2_comp1
G_2_A_25_1_8_comp1,P_2_A_25_1_8_comp1,R_2_A_25_1_8,TCDB,TCDB.2_A_25_1_8_comp1
G_2_A_6_2_28_comp1,P_2_A_6_2_28_comp1+2_A_6_2_28_comp2,R_2_A_6_2_28,TCDB,TCDB.2_A_6_2_28_comp1
G_2_A_6_2_28_comp2,P_2_A_6_2_28_comp1+2_A_6_2_28_comp2,R_2_A_6_2_28,TCDB,TCDB.2_A_6_2_28_comp2
G_3_A_24_5_1_comp1,P_3_A_24_5_1_comp1+3_A_24_5_1_comp2+3_A_24_5_1_comp3+3_A_24_5_1_comp4+3_A_24_5_1_comp5+3_A_24_5_1_comp6+3_A_24_5_1_comp7+3_A_24_5_1_comp8,R_3_A_24_5_1,TCDB,TCDB.3_A_24_5_1_comp1
G_3_A_24_5_1_comp2,P_3_A_24_5_1_comp1+3_A_24_5_1_comp2+3_A_24_5_1_comp3+3_A_24_5_1_comp4+3_A_24_5_1_comp5+3_A_24_5_1_comp6+3_A_24_5_1_comp7+3_A_24_5_1_comp8,R_3_A_24_5_1,TCDB,TCDB.3_A_24_5_1_comp2
G_3_A_24_5_1_comp3,P_3_A_24_5_1_comp1+3_A_24_5_1_comp2+3_A_24_5_1_comp3+3_A_24_5_1_comp4+3_A_24_5_1_comp5+3_A_24_5_1_comp6+3_A_24_5_1_comp7+3_A_24_5_1_comp8,R_3_A_24_5_1,TCDB,TCDB.3_A_24_5_1_comp3
G_3_A_24_5_1_comp4,P_3_A_24_5_1_comp1+3_A_24_5_1_comp2+3_A_24_5_1_comp3+3_A_24_5_1_comp4+3_A_24_5_1_comp5+3_A_24_5_1_comp6+3_A_24_5_1_comp7+3_A_24_5_1_comp8,R_3_A_24_5_1,TCDB,TCDB.3_A_24_5_1_comp4
G_3_A_24_5_1_comp5,P_3_A_24_5_1_comp1+3_A_24_5_1_comp2+3_A_24_5_1_comp3+3_A_24_5_1_comp4+3_A_24_5_1_comp5+3_A_24_5_1_comp6+3_A_24_5_1_comp7+3_A_24_5_1_comp8,R_3_A_24_5_1,TCDB,TCDB.3_A_24_5_1_comp5
G_3_A_24_5_1_comp6,P_3_A_24_5_1_comp1+3_A_24_5_1_comp2+3_A_24_5_1_comp3+3_A_24_5_1_comp4+3_A_24_5_1_comp5+3_A_24_5_1_comp6+3_A_24_5_1_comp7+3_A_24_5_1_comp8,R_3_A_24_5_1,TCDB,TCDB.3_A_24_5_1_comp6
G_3_A_24_5_1_comp7,P_3_A_24_5_1_comp1+3_A_24_5_1_comp2+3_A_24_5_1_comp3+3_A_24_5_1_comp4+3_A_24_5_1_comp5+3_A_24_5_1_comp6+3_A_24_5_1_comp7+3_A_24_5_1_comp8,R_3_A_24_5_1,TCDB,TCDB.3_A_24_5_1_comp7
G_3_A_24_5_1_comp8,P_3_A_24_5_1_comp1+3_A_24_5_1_comp2+3_A_24_5_1_comp3+3_A_24_5_1_comp4+3_A_24_5_1_comp5+3_A_24_5_1_comp6+3_A_24_5_1_comp7+3_A_24_5_1_comp8,R_3_A_24_5_1,TCDB,TCDB.3_A_24_5_1_comp8
G_1_B_163_1_9_comp1,P_1_B_163_1_9_comp1,R_1_B_163_1_9,TCDB,TCDB.1_B_163_1_9_comp1
G_8_A_35_1_1_comp1,P_8_A_35_1_1_comp1,R_8_A_35_1_1,TCDB,TCDB.8_A_35_1_1_comp1
G_3_A_1_9_2_comp1,P_3_A_1_9_2_comp1+3_A_1_9_2_comp2+3_A_1_9_2_comp3,R_3_A_1_9_2,TCDB,TCDB.3_A_1_9_2_comp1
G_3_A_1_9_2_comp2,P_3_A_1_9_2_comp1+3_A_1_9_2_comp2+3_A_1_9_2_comp3,R_3_A_1_9_2,TCDB,TCDB.3_A_1_9_2_comp2
